"Find your Production keys","Find your Production keys"
"Find your Sandbox keys","Find your Sandbox keys"
"Success","Success"
"Warning","Warning"
"Error","Error"
"Home","Home"
"Zip Payment","Zip Payment"
"Cannot empty shopping cart","Cannot empty shopping cart"
"Redirect","Redirect"
"Lightbox","Lightbox"
"Sandbox","Sandbox"
"Production","Production"
"All","All"
"Default","Default"
"None","None"
"Specific Countries","Specific Countries"
"Authorize Only","Authorize Only"
"Immediate Capture","Immediate Capture"
"Could not create the charge","Could not create the charge"
"Invalid Charge","Invalid Charge"
"Could not capture the charge","Could not capture the charge"
"Something wrong when checkout been created","Something wrong when checkout been created"
"Could not create the refund","Could not create the refund"
