"Zip Payment - <i>Own it now, pay later</i>","Pago por Zip - <i>Obtenlo ahora, paga después</i>"
"Zip now, pay later","Compra ahora, paga despues"
"Zip Payment Solution","Solución de pago por Zip"
"Find your Production keys","Encuentra tus claves de Producción"
"Find your Sandbox keys","Encuentra tus claves de Sandbox"
"Success","Éxito"
"Status","Estado"
"Version","Versión"
"Health Check","Estado"
"Settings","Configuración"
"Enable this Solution","Habilitar esta solución"
"Environment","Entorno"
"Only use ‘Production‘ in conjunction with production Zip partner credentials, and only use ‘Sandbox’ in conjunction with sandbox Zip partner credentials","Utilice sólo ‘Producción‘ conjuntamente con las credenciales de asociado Zip de producción, y utilice sólo ‘Sandbox‘ conjuntamente con las credenciales de socio Zip de sandbox."
"Set to 'Yes' to enable Zip Payment as a secure payment method on your website",Establece 'Sí' para habilitar el Pago por Zip como método seguro de pago en tu sitio web"
"Health check your API Key and environments","Comprueba el estado de tu clave API y sus entornos"
"Warning","Advertencia"
"Error","Error"
"Home","Inicio"
"Zip Payment","Pago por Zip"
"Public Key","Clave pública"
"Enter the ‘Zip Partner Public Key‘. This can be located in your Zip partner dashboard. Note: these are different for ‘Production‘ and ‘Sandbox‘ environments.","Introduce la clave pública de Socio Zip. Esta se encuentra en tu panel de control de socio Zip. Nota: estas claves son diferentes para los entornos de ‘Producción‘ y ‘Sandbox‘"
"Private Key","Clave privada"
"Enter the ‘Zip Partner Private Key‘. This can be located in your Zip partner dashboard. Note: these are different for ‘Production‘ and ‘Sandbox‘ environments.","Introduce la clave privada del Socio Zip. Puedes encontrarla en el panel de control de socio Zip. Nota: estas claves son diferentes para los entornos ‘Producción‘ y ‘Sandbox‘"
"Please contact <strong>integrations@zip.co</strong> to get your global API key","Ponte en contacto con <strong>integrations@zip.co</strong> para obtener tu clave API global"
"Cannot empty shopping cart","No se puede vaciar el carrito de compras"
"Advanced Settings","Configuración avanzada"
"Payment","Pago"
"Title","Título"
"This payment method title is used to display as payment method option","Este título del método de pago se utiliza para mostrar como opción de método de pago"
"It is recommended to set this value to ‘Zip - Own it now, pay later‘","Se recomienda establecer este valor a ‘Zip - Obtenlo ahora, paga después‘."
"Payment Action","Acción de pago"
"Capture Mode to handle Zip Payment","Modo de captura para manejar el Zip Pago"
"Please select Immediate Capture for non AUD currency.","Selecciona Captura Inmediata para divisa diferente al AUD."
"New Order Status","Estado del pedido nuevo"
"Define the order status after payment been processed","Define el estado del pedido una vez procesado el pago"
"Minimum Order Total","Pedido total mínimo"
"The minimum order value amount required to checkout","El valor mínimo del pedido requerido para realizar el proceso de fin de compra"
"Maximum Order Total","Pedido total máximo"
"The maximum order value amount required to checkout","El valor máximo del pedido requerido para el proceso de fin de compra"
"Sort Order","Clasificación de pedido"
"Give a number to define the position in payment option Zip Payment will be placed, 0 is the first position","Indique un número para definir la posición en la opción de pago de Pago por Zip será colocado, 0 es la primera posición"
"Define the order status when a referred order be placed","Define el estado del pedido cuando se realiza un pedido aplazado"
"Country and Currency","País y divisa"
"Payment from applicable countries","Pago proveniente de países aplicables"
"Allowed Currencies","Divisas permitidas"
"Debug Mode","Modo de depuración"
"Debug","Depuración"
"Select 'Yes' to enable debug mode for widget","Selecciona `Sí` para activar el modo de depuración para el widget"
"Enabled","Habilitado"
"Set to 'Yes' to fetch Zip notifications","Selecciona `Sí` para recuperar las notificaciones de Zip"
"Log Level","Nivel de registro"
"Select 'All' to log everything, 'Default' to log payment information and 'None' to disabled logging","Selecciona 'Todo' para registrar todo, 'Predeterminado' para registrar la información de pago y 'Ninguno' para desactivar el registro"
"Select 'Yes' to enable debug mode","Selecciona 'Sí' para activar el modo de depuración"
"Payment from Specific countries","Pago proveniente países específicos"
"Admin Notification","Notificación del administrador"
"Checkout","Proceso de fin de compra"
"Checkout Type","Tipo de proceso de fin de compra"
"Select checkout type. one page checkout or one step checkout","Seleccione el tipo de proceso de fin de compra. Proceso de fin de compra en una página o proceso de fin de compra en un paso"
"This setting is used to identify which type of checkout has been used","Este ajuste se utiliza para identificar el tipo de proceso de fin de compra que se ha utilizado"
"Path of Checkout Page","Ruta de la página de proceso de fin de compra"
"Please enter a path to identify checkout page, not includes last slash","Introduce una ruta para identificar la página de proceso de fin de compra, sin incluir la última diagonal"
"Sample checkout path: /checkout/onepage, /onestepcheckout","Ejemplo de ruta de proceso de fin de compra: /checkout/onepage, /onestepcheckout"
"Checkout Mode","Modo de proceso de fin de compra"
"Select display mode for Zip Checkout, popup or redirect","Selecciona el modo de visualización de Proceso de fin de compra de Zip, menú emergente o redirección"
"This setting is used to identify how can we handle checkout authentication and confirmation from Zip. Lightbox Zip checkout only work for AU region. Other region customer will redirect to zip for payment.","Este ajuste se utiliza para identificar cómo podemos manejar la autenticación y la confirmación del proceso de fin de compra desde Zip. El proceso de fin de compra Lightbox Zip sólo funciona en la región de AU. Los clientes de otras regiones serán redirigidos a Zip para el pago."
"Click and Collect Method Code","Código del método de Hacer clic y Recoger [Click and Collect]"
"Enter a code/word to help Zip recognise the 'Click and Collect' shipping method.","Introduzca un código/palabra para ayudar a Zip a reconocer el método de envío 'Hacer clic y recoger'."
"We'll use regex expression to match all shipping methods includes this method code. pickup means '*pickup*' that will matched 'auspost_pickup' or 'pickup_****' or 'pickup****'. Empty field means Zip Payment will not detect Click and Collect shipping method.","Utilizaremos una expresión regular para que todos los métodos de envío incluyan este código de método. recoger (pickup) significa '*recoger*' que coincidirá con 'auspost_pickup' o 'pickup_****' o 'pickup****'. El campo vacío significa que el Pago por Zip no detectará el método de envío Hacer clic y recoger."
"Referred Application","Aplicación referida"
"Order Handling","Manejo de pedidos"
"Zip Money refer application default order handling","Manejo de pedidos por defecto de la aplicación de referencia Zip Money"
"Required for Zip Money product only. The default value is 'Yes', create order for referred application","Requerido sólo para el producto Zip Money. El valor por defecto es "Sí", generar orden para la aplicación referida"
"Redirect","Redirigir"
"Lightbox","Lightbox"
"Sandbox","Sandbox"
"Production","Producción"
"All","Todos"
"Default","Predeterminado"
"None","Ninguno"
"Specific Countries","Países específicos"
"Authorize Only","Solo autorizar"
"Immediate Capture","Captura inmediata"
"Could not create the charge","No se ha podido generar el cargo"
"Invalid Charge","Cargo no válido"
"Could not capture the charge","No se ha podido registrar el cargo"
"Something wrong when checkout been created","Algo salío mal al momento de generar el proceso de fin de compra"
"Could not create the refund","No se ha podido generar el reembolso"
"Widgets and Banners","Widgets y Anuncios (Banners)"
"Display Widget Mode","Modo de visualización del widget"
"Select display widget mode for Zip Widget","Seleccione el modo de widget de visualización para el widget Zip"
"Strip Banner","Barra de anuncios"
"Tagline","Eslogan"
"Widget","Widget"
"Category Page","Página de categoría"
"Select 'Yes' to enable Widget","Selecciona 'Sí' para habilitar el widget"
"Select 'Yes' to enable Tagline","Selecciona 'Sí' para habilitar el eslogan"
"Select 'Yes' to enable Strip Banner","Selecciona 'Sí' para habilitar la barra de anuncios"
"Element selector","Selector de elementos"
"Enter HTML element selector to insert widget in any places","Introduce el selector de elementos HTML para insertar el widget en cualquier lugar"
"Home Page","Página de inicio"
"Product Page","Página de producto"
"Cart Page","Página del carrito"
"Checkout Page","Página de proceso de fin de compra"
"Does not support processing orders with zero amount.","No admite el procesamiento de pedidos con importe de cero."
"Unable to initialize the Checkout.","No es posible iniciar el proceso de fin de compra."
